17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
3.0622,1.6723,0.6198,2.8096,0.245,4.389,0.08479,0.5246,0.1278,0.7904,2.8355,0.6272,0.8545,0.9168,0.9326,5.7297,5.0999,0.8884,0.8047,1.3712,0.8447,3.8462,0.4765
3.535,0.9948,0.8491,0.5872,1.92,3.3621,0.1657,1.089,0.5269,0,0.9413,0,0.1933,0,0.5155,7.0226,3.6088,1.6212,0.7932,1.1746,0.6844,3.4983,0.8562
3.782,1.5436,1.2147,1.1495,0.2919,4.5677,0.3791,0.1402,0.5869,0.2235,2.221,0.7454,0.9721,0.3701,0.07659,5.5687,4.0279,1.2339,0.4203,1.3417,1.3518,4.4574,1.7839
3.6605,1.7665,1.8525,2.5412,1.6441,5.5188,3.6396,1.5649,2.1147,2.772,2.5862,2.4569,2.0731,1.8775,1.5218,7.7957,5.983,3.4219,1.8187,3.2246,2.6279,5.3689,2.0536
2.9596,1.4376,2.1677,0.6281,1.8863,1.8827,0.06305,1.5596,0.7575,0.7115,1.9489,0.9353,0.2945,0.669,0.338,4.0875,3.5201,2.1399,0.1058,0.7222,0.9248,3.1708,1.2662
3.522,1.2929,1.1074,2.4031,0.4567,2.8908,0.5398,0.5409,0.9183,0.952,3.4454,1.4771,0.9068,0.6963,2.0835,5.3468,4.7205,2.2858,0.6724,1.5978,0.8724,4.0707,1.4867
3.6759,0.3189,0.05208,1.5453,0.07583,3.8186,0.408,0.2543,0.6024,0.01872,2.7382,0.08833,0.2865,0,0.403,5.4703,4.2886,1.9139,0.4669,0.6554,0.661,3.8954,0.2085
2.4662,0.3615,0.2508,0.2375,0.08293,2.5153,0.03331,0,0,0.2102,0.5436,0,0.4959,0.08666,0.01494,4.6157,4.0075,1.3704,0.2818,1.4006,1.1598,2.649,1.0122
3.5747,0.5525,0.714,0.117,0.3697,2.8739,0.293,0.3485,1.727,0.364,0.5889,0.8348,0.5515,0.6474,0.05216,4.3533,3.6206,2.2706,2.0935,1.2913,2.2652,2.586,0.968
4.747,1.0006,0.793,1.8154,0,3.5949,0.06193,0.1202,0.02046,0.1101,2.4465,0,0.5221,0.2003,0.7129,7.1679,4.3673,0.9206,0.05127,0.8825,0.858,3.1484,1.3466
4.7559,0.6674,0.3709,2.5348,0.2241,4.4446,0.7732,0.6209,0.4157,0.9955,3.6018,0.6759,1.3639,0.03508,0.3847,6.5225,4.5095,2.0551,0.9908,1.9146,1.8416,4.6525,1.3352
3.5625,1.4484,0.9057,3.2996,0.2889,3.9345,0.02134,0.1527,0.521,0.4491,4.8148,0.1961,0.7175,0.4121,2.9645,6.0932,4.6373,2.2543,0.6118,1.8735,1.0899,3.2038,0.8069
2.9712,1.6406,0.4962,1.8637,0.4884,1.7063,0,0.6707,0.6661,0.4832,3.1106,0.2405,0.4691,0.08954,0,4.9753,3.6981,1.4266,0.6549,1.3264,1.2616,1.8717,0.4353
3.2142,1.8822,4.0457,1.2336,1.0818,5.8889,2.1997,1.1767,7.0051,1.5865,1.7295,0.7632,3.0952,1.7146,1.0265,6.7188,6.3121,2.4329,2.1035,2.8218,2.0343,6.526,3.0741
5.2887,2.8999,0.3323,1.6147,1.0362,3.7332,1.279,1.233,1.5625,1.1689,2.9921,0.6168,1.3265,1.0553,0.4187,6.5985,5.9291,1.805,0.9786,3.1165,1.5766,4.6146,1.295
3.4197,1.3966,0.6383,2.1312,0.2484,2.2418,0.1851,0.411,0.2155,0.02477,2.611,0,0.6001,0.2758,0.2848,4.0922,4.1905,1.5547,0.4228,1.4991,0.5118,1.5994,1.1518
3.6128,2.3462,2.1758,1.531,1.1176,4.4041,1.2846,1.5453,1.1455,1.3676,2.1609,0.9395,0.9735,0.308,0.6054,6.414,4.8869,2.1786,0.6914,2.4489,2.1487,4.0091,1.748
3.4746,1.3166,1.54,2.518,0.3177,3.9819,0.4889,0.3482,0.7336,0.7133,2.855,0.3853,0.6353,0.8851,1.2235,6.704,4.3878,2.1509,1.5503,1.6747,0.9213,3.6587,0.698
2.9811,0.3433,0.05539,0.05747,0.01175,4.7396,0,0.6501,0,0.001908,0,0.2911,0.8768,0,0.005313,7.1153,4.6797,0.8231,0,0.4967,1.0673,4.1211,0.468
3.5976,0.8428,2.0535,0.113,0.3595,4.8923,0.02918,0.3646,0.1648,0.1399,0.06714,1.1151,0.9159,0.4072,0.6149,6.5657,5.8478,1.2478,0.1112,0.6416,1.7212,4.5194,1.9715
1.0525,0.5273,1.181,0.01832,1.3084,2.4196,0.2981,0.6681,0.3956,0.2088,0.4673,0.1474,0.5166,0.4686,0,4.959,4.53,0.9371,0.4714,0.7985,0.1317,2.1888,0.8072
4.799,1.0007,0.8363,0.2601,0.2467,3.4086,0.1532,1.0001,0.641,0.2901,0.1503,0,0.533,0.1106,0.4886,5.817,3.7698,2.1067,0.5889,0.7964,1.0845,4.1961,0.9727
6.5863,0.8161,0,1.8523,0.286,2.0384,0.04038,0,0.1393,0,3.2117,0.07469,0.261,0.1914,1.2483,3.1892,2.4495,1.1826,0.3158,0.6679,0.3908,2.2885,0.4507
1.6136,1.1466,1.4118,1.2769,1.0932,0.5537,0.1271,0.7662,0.03836,0.1525,1.8386,0.1423,0,0,0.4033,4.8113,3.6886,1.5667,0.4486,0.729,0.9492,1.1215,1.2657
4.3291,1.2703,0.6972,0.149,0.6947,2.9043,0.7571,0.4327,0.5266,0.0222,0.1878,0.1654,0.8664,0.3361,0.359,5.5828,4.6055,1.7244,0.301,1.4006,1.7102,3.1338,0.305
3.6877,1.3703,1.7728,1.7048,2.0234,2.8611,0.09294,1.9052,0.07419,0.1528,2.3533,0.2048,0.2923,0.04997,0.2709,5.3918,4.751,2.3477,0.04859,0.9655,0.322,2.4477,1.7151
3.3698,0.1548,0.2008,1.6146,0.04256,1.8093,0.01624,0.3518,0.1917,0.3751,2.1985,0.04588,0.08662,0.195,0,4.1905,3.5222,1.5971,0.05791,0.8478,0.6033,1.9735,0.3933
